First Name,Gender,Date of Birth,Date of Joining,Company,Department,Designation,Status
Nguyễn Quang Khang,Male,1982-03-24,2019-11-24,Ý Cường Thinh,Accounts - YCT,Finance Manager,Active
Lâm Công Bình,Male,1975-02-07,2021-09-20,Ý Cường Thinh,Accounts - YCT,Accountant,Active
Trương Minh Trung,Male,1988-04-15,2022-01-25,Ý Cường Thinh,Accounts - YCT,Accountant,Active
Ngô Anh Long,Male,1979-04-25,2023-02-03,Ý Cường Thinh,Accounts - YCT,Accountant,Active
Phạm Hồng My,Female,1994-05-26,2018-12-15,Ý Cường Thinh,Accounts - YCT,Accountant,Active
Hồ Hữu Trung,Male,1984-11-20,2023-10-07,Ý Cường Thinh,Accounts - YCT,Accountant,Active
Trần Minh Minh,Male,1977-04-28,2019-07-09,Ý Cường Thinh,Accounts - YCT,Accountant,Active
Đỗ Thanh My,Female,1986-04-22,2022-12-22,Ý Cường Thinh,Accounts - YCT,Accountant,Active
Mai Đức Trung,Male,1998-04-06,2025-07-09,Ý Cường Thinh,Accounts - YCT,Accountant,Active
Bùi Văn Khang,Male,2001-01-26,2023-07-09,Ý Cường Thinh,Accounts - YCT,Administrative Assistant,Active
Phan Bá Nam,Male,1981-11-16,2024-11-15,Ý Cường Thinh,Customer Service - YCT,Manager,Active
Võ Đức Khang,Male,1998-09-18,2022-12-19,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Lâm Mỹ My,Female,1982-03-17,2025-02-25,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Phạm Đức Hải,Male,2000-11-14,2019-07-13,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Đinh Kim Trang,Female,2002-01-22,2019-11-18,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Bùi Ngọc Linh,Female,1988-03-15,2018-12-24,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Đinh Thanh Thảo,Female,1978-11-10,2021-03-12,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Trương Tuấn An,Male,1994-06-16,2018-02-12,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Vũ Thị Huyền,Female,1993-02-03,2025-02-25,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Hoàng Thành Trung,Male,1980-05-17,2024-04-18,Ý Cường Thinh,Customer Service - YCT,Customer Service Representative,Active
Đặng Công Phong,Male,1989-09-15,2019-04-08,Ý Cường Thinh,Dispatch - YCT,Manager,Active
Bùi Văn Tuấn,Male,1992-04-19,2021-01-03,Ý Cường Thinh,Dispatch - YCT,Administrative Officer,Active
Vũ Hữu Bình,Male,2002-06-03,2021-05-22,Ý Cường Thinh,Dispatch - YCT,Administrative Officer,Active
